			Autor, Herausgeber oder Institution	Jahr ermittelt	Dokumententyp	Zeitschrift/Zeitung	Titel	Kategorien	Schlagwörter	Laufnummer
0	0	1	Helie, Anissa	2012	Beitrag in …		Introduction	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 1.4.4 Ethnizität; 1.4.5 Religion; 7 Sexualität	Geschlecht // gender; Identität // identity; Interkulturell // intercultural; Islam; Religion; Resilienz // resilience; Sexualität // sexuality; Sozialisation // socialization; Widerstand // resistance	1336
1	0	0	Hélie, Anissa; Hoodfar, Homa	2012	Buch (Sammelwerk)		Sexuality in Muslim Contexts	1 Sozialer Kontext; 1.4 Identitäten; 1.4.4 Ethnizität; 1.4.5 Religion; 7 Sexualität; 7.2 Selbstbestimmung	Islam; Sexualität // sexuality	1054
0	0	0	Helsper, Ellen	2012	Beitrag in …		Which children are fully online?	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder	1519
0	0	0	Hoodfar, Homa; Ghoreishian, Ana	2012	Beitrag in …		Morality policing and the public sphere: women reclaiming their bodies and their rights	1 Sozialer Kontext; 1.1 Policies; 1.4 Identitäten; 1.4.1 Gender; 7 Sexualität; 7.2 Selbstbestimmung	Frauen // women; Körper // body; Moral; sexuelle Rechte // sexual rights	1384
0	0	0	Hooghe, Marc; Meeusen, Cecil	2012	Zeitschriftenaufsatz	Journal of Youth and Adolescence	Homophobia and the transition to adulthood: a three year panel study among Belgian late adolescents and young adults, 2008-2011	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 5 Adressat_innen; 5.2 Jugendliche; 8 Forschung; 8.4 Ergebnisse	Geschlechterrolle // gender role; Homofeindlichkeit // homophobia; Jugendliche und junge Erwachsene; Stereotype // stereotypes	1761
0	1	0	Jaffe, Anna E.; Cranston, Christopher C.; Shadlow, Joanna O.	2012	Zeitschriftenaufsatz	Journal of Child Sexual Abuse	Parenting in females exposed to intimate partner violence and childhood sexual abuse	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 5.3 Eltern; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Coercion; Eltern; Erwachsene; Female; Humans; Kinder; Male; Self Concept; sexueller Kindesmissbrauch; Single Parent/psychology; Spouse Abuse/psychology; Von sexuellem Kindesmissbrauch Betroffene; Young Adult	1602
1	0	0	Jones, Tiffany Mary; Hillier, Lynne	2012	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Sexuality education school policy for Australian GLBTIQ students	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik	queer; Schule // school; Sexuelle Bildung // sexuality education	1018
0	0	0	Kalmus, Veronika; Feilitzen, Cecilia von; Siibak, Andra	2012	Beitrag in …		Effectiveness of teacher´s and peers mediation in supporting opportunities and reducing risks online	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Intern; 4.3 Peers; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder; Lehrer*innen // Teachers; Peers; Risiko // risk; Wirksamkeit // effectiveness	1534
0	0	0	Karim, Shuchi	2012	Beitrag in …		Living sexualities: non-hetero female sexuality in urban middle-class Bangladesh	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 1.4.4 Ethnizität; 1.4.5 Religion; 7 Sexualität	Bisexualität // bisexuality; Frauen // women; lesbisch // lesbian; Sexualität // sexuality; trans*ident // trans*	1385
1	0	0	Kehily, Mary Jane	2012	Zeitschriftenaufsatz	Gender and Education	Contextualising the sexualisation of girls debate	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Mädchen // girls; Sexualisierung // sexualization; Sexualität // sexuality	831
0	0	0	Kemshall, Hazel; Kelly, Gill; Wilkinson, Bernadette	2012	Zeitschriftenaufsatz	Journal of Sexual Aggression	Child Sex Offender Public Disclosure Scheme	1 Sozialer Kontext; 1.2 Diskurse; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene	Offenlegung // disclosure; Risiko // risk; Täter*in // offender	204
0	0	0	Kirwil, Lucyna; Laouris, Yiannis	2012	Beitrag in …		Experimenting with the self online: a risky opportunity	1 Sozialer Kontext; 1.3 Medien und Technologie; 1.4 Identitäten; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Identität // identity; Internet; Kinder; Risiko // risk	1524
0	0	0	Kupiainen, Reijo; Suoninen, Annikka; Nikunen, Kaarina	2012	Beitrag in …		Between public and private: privacy in social networking sites	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder; Privatsphäre // privacy	1523
1	0	0	Lacelle, Céline; Hébert, Martine; Lavoie, Francine; Vitaro, Frank; Tremblay, Richard E.	2012	Zeitschriftenaufsatz	Child Abuse & Neglect	Sexual health in women reporting a history of child sexual abuse	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.4 Resilienz	Frauen // women; sexuelle Gesundheit // sexual health; sexueller Kindesmissbrauch	775
0	0	0	Lambine, Mackenzie E.	2012	Zeitschriftenaufsatz	Journal of Sexual Aggression	Unsafe in the Ivory Tower	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.5 Universität; 3 Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Art; 6.2.4 Übergriff	Sexueller Übergriff // sexual assault; Sicherheit // safety; Student*innen // college students; Universität // college university	202
0	0	0	Lampert, Claudia; Donoso, Véronica	2012	Beitrag in …		Bullying	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art	Internet; Kinder; Mobbing // bullying	1526
1	0	1	Lampert, Jo	2012	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Sh-h-h-h	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Medien // media; Narration // narrative; Offenlegung // disclosure; sexueller Kindesmissbrauch; Täter*in // offender	1016
0	0	0	Laurinavicius, Alfredas; Zukauskiene, Rita; Ustinavicitue, Laura	2012	Beitrag in …		Explaining vulnerability to risk and harm	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder; Risiko // risk; Vulnerabilität // vulnerability	1538
0	0	0	Lehtonen, Jukka	2012	Beitrag in …		Yogyakarta Principles	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.2 LGBT; 7 Sexualität; 7.2 Selbstbestimmung	Bisexualität // bisexuality; lesbisch // lesbian; schwul // gay; sexuelle Rechte // sexual rights; trans*ident // trans*	1238
0	0	1	Lewis, Mel Michelle	2012	Beitrag in …		Pedagogy and the Sista' Professor	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 1.4.4 Ethnizität; 2 Institutioneller Kontext; 4 Fachkräfte; 4.1 Intern; 7 Sexualität	Lehrer*innen // Teachers; lesbisch // lesbian; Rassismus // racism; schwarz // black; Sexismus // sexism; Sexuelle Bildung // sexuality education; Unterricht // class	1227
0	0	0	Linville, Darla	2012	Beitrag in …		Introduction	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik	Geschlecht // gender; Schule // school; Schüler*innen // pupils; Sexualität // sexuality; Sexuelle Bildung // sexuality education	1432
0	0	0	Linville, Darla	2012	Beitrag in …		Virtual, Welcoming, Queer, School Community	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule	queer; Schule // school; Schulklima // school climate	1436
0	0	0	Livingstone, Sonia M.; Görzig, Anke	2012	Beitrag in …		Sexting: the exchange of sexual messages online among European youth	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Bewältigung // coping; Internet; Jugendliche und junge Erwachsene; Kinder; Risikofaktoren // risk factors; Risikoverhalten // risk behavior; Sexting // sexting	1527
0	0	0	Livingstone, Sonia M.; Haddon, Leslie	2012	Beitrag in …		Theoretical framework for children´s internet use	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder; 8 Forschung; 8.2 Theorie	Internet; Kinder; Theorie // theory	1515
0	0	0	Livingstone, Sonia M.; Haddon, Leslie; Görzig, Anke	2012	Buch (Sammelwerk)		Children, risk and safety on the internet	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder	1113
0	0	0	Livingstone, Sonia M.; Hasebrink, Uwe; Görzig, Anke	2012	Beitrag in …		Towards a general model of determinants of risk and safety	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 8.2 Theorie	Internet; Kinder; Risiko // risk; Sicherheit // safety	1540
1	0	0	Löfgren-Mårtenson, Lotta	2012	Zeitschriftenaufsatz	Sexuality and Disability	“I Want to Do it Right!	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 1.4.6 Behinderungen; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.4 Sonderschule; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität	Behinderung // disability; Selbstbestimmung // agency; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education; sexuelles Risiko // sexual risk	1145
0	0	0	Lugg, Catherine A.	2012	Beitrag in …		The Religious Right and Public Education	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.2 LGBT; 1.4.5 Religion; 3 Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Bildungspolititk // education policies; Diskurs // discourse; Homofeindlichkeit // homophobia; Katholizismus // catholicism; Religion	1228
1	0	0	McKee, Alan	2012	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	The importance of entertainment for sexuality education	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche	heimlicher Lehrplan // hidden curriculum; Medien // media; Sexuelle Bildung // sexuality education	1009
0	0	0	McRuer, Robert; Mollow, Anna	2012	Buch (Sammelwerk)		Sex and disability	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 7 Sexualität	Behinderung // disability; Diskriminierung // discrimination; Diskurs // discourse; Einstellungen // attitudes; Empowerment // empowerment; Sexualität // sexuality; Sexualkultur // sexuality culture	1059
0	0	0	Meiners, Erica R.; Quinn, Therese	2012	Buch (Sammelwerk)		Sexualities in education	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 1.4.3 Schicht; 1.4.4 Ethnizität; 1.4.5 Religion; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 8 Forschung	Geschlecht // gender; Geschlechtsidentität // gender identity; Pädagogik // pedagogy; queer; Schule // school; Schüler*innen // pupils; Schulklima // school climate Diskriminierung // discrimination; Sexismus // sexism; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education; Sexuelle Orientierung // sexual orientation	939
0	0	0	Meyer, Elizabeth J.	2012	Beitrag in …		From Here to Queer	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 3 Fokus; 3.1 Sexualpädagogik	Diversity; queer; Sexualität // sexuality; Sexuelle Bildung // sexuality education	1225
0	0	0	Mir-Hosseini, Ziba	2012	Beitrag in …		Sexuality and inequality: the marriage contract and Muslim legal tradition	1 Sozialer Kontext; 1.4 Identitäten; 1.4.5 Religion; 7 Sexualität; 7.2 Selbstbestimmung	Heirat // marriage; Islam; Sexualität // sexuality; soziale Ungleichheit und/oder Gerechtigkeit // social inequality and/or justice; Tradition // tradition	1381
0	0	0	Mollow, Anna	2012	Beitrag in …		Is Sex Disability?	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 1.4.6 Behinderungen; 7 Sexualität; 8 Forschung; 8.2 Theorie	Behinderung // disability; Geschlecht // gender; Queer Theory	1219
1	0	1	Newby, Katie; Wallace, Louise M.; Dunn, Orla; Brown, Katherine E.	2012	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	A survey of English teenagers' sexual experience and preferences for school-based sex education	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.4 Ethnizität; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Ethnizität // ethnicity; Jugendliche und junge Erwachsene; sexuelle Erfahrung // sexual experience; Verhütung // contraception	1021
0	0	0	North, Connie E.	2012	Beitrag in …		Introduction: Bending the Terrain	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.2 LGBT	Bisexualität // bisexuality; Identität // identity; queer; schwul // gay; Sexuelle Bildung // sexuality education; trans*ident // trans*	1418
0	0	0	Nunez, Isabel	2012	Beitrag in …		Introduction	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 2.2.5 Universität; 4 Fachkräfte; 4.1 Intern	Bisexualität // bisexuality; Identität // identity; Lehrer*innen // Teachers; lesbisch // lesbian; Schule // school; schwul // gay; Sexualität // sexuality; trans*ident // trans*	1427
0	0	0	O´Neill, Brian; Staksrud, Elisabeth	2012	Beitrag in …		Policy implications and recommendations	1 Sozialer Kontext; 1.1 Policies; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder; Policies	1541
0	0	0	Ogan, Christine; Karakus, Türkan; Kursun, Engin; Cagiltay, Kürsat; Kasikci, Duygu	2012	Beitrag in …		Cognitive interviewing and response to EU Kids Online survey questions	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder; 8 Forschung; 8.3 Methodologie; 8.4 Ergebnisse	Internetbefragung // internet surveying; Kinder; Methoden // methods	1518
0	0	0	Pajor Ford, Carolyn	2012	Beitrag in …		White Trash	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 1.4.3 Schicht	Bisexualität // bisexuality	1428
1	0	0	Parchomiuk, Monika	2012	Zeitschriftenaufsatz	Sexuality and Disability	Specialists and Sexuality of Individuals with Disability	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 4 Fachkräfte; 4.1 Intern; 7 Sexualität; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Behinderung // disability; Pflegepersonen // carers; Sexualität // sexuality	1144
1	0	0	Parent, Sylvie; Bannon, Joëlle	2012	Zeitschriftenaufsatz	Children and Youth Services Review	Sexual abuse in sport	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 2.2.3.1 Schulfächer; 2.2.3.1.1 Sportunterricht; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Jugendliche und junge Erwachsene; Jungen // boys; sexuelle Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Sport // sports; Sportunterricht // physical education	904
0	0	0	Pascoe, C. J.	2012	Beitrag in …		Becoming Mr. Cougar	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 4 Fachkräfte; 4.1 Intern	Heteronormativität // heteronormativity; Homofeindlichkeit // homophobia; Schule // school	1434
0	0	0	Pasquier, Dominique; Simoes, José Alberto; Kredens, Elodie	2012	Beitrag in …		Agents of mediation and sources of safety awareness: a comparative overview	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Informationsquelle // source of information; Internet; Kinder; Sicherheit // safety	1532
0	0	0	Poole, Jay; Gause, C. P.	2012	Beitrag in …		Under Construction	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT	Christentum // christianity; Heteronormativität // heteronormativity; Moral; Narration // narrative; queer; Rassismus // racism; Religion; soziale Ungleichheit und/oder Gerechtigkeit // social inequality and/or justice; Sozialisation // socialization	1443
0	0	0	Pruulmann-Vengerfeldt, Pille; Runnel, Pille	2012	Beitrag in …		Online opportunities	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder	1521
0	0	0	Quayle, Ethel	2012	Beitrag in …		Organisational Issues and New Technologies	1 Sozialer Kontext; 1.3 Medien und Technologie; 2 Institutioneller Kontext; 3 Fokus; 3.2 Gewaltprävention	Organisation // organisation; Technologie // technology	1459
1	0	0	Quinlivan, Kathleen	2012	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Popular culture as emotional provocation	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 4 Fachkräfte; 4.1 Intern; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.1 Belästigung; 6.2.5 Diskriminierung; 8 Forschung; 8.2 Theorie; 8.3 Methodologie	heimlicher Lehrplan // hidden curriculum; Heteronormativität // heteronormativity; Männlichkeit // masculinity; Popkultur // popular culture; queer; Schule // school; Schüler*innen // pupils; Schulklima // school climate	1011
0	0	0	Rajander, Silja; Sophat, Phal	2012	Beitrag in …		Drama Performances Address Stigma, Discrimination of MSM and HIV/AIDS Prevention	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 3 Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Diskriminierung // discrimination; HIV; Prävention // prevention; schwul // gay	1446
0	0	0	Rofes, Eric E.	2012	Beitrag in …		Bound and Gagged	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 4 Fachkräfte; 4.1 Intern; 7 Sexualität; 7.2 Selbstbestimmung	Lehrer*innen // Teachers; queer; schwul // gay; Universität // college university	1430
0	0	0	Rovoliy, Antonis; Tsaliki, Liza	2012	Beitrag in …		Pornography	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder; Pornografie // pornography	1528
0	0	0	Ságvári, Bence; Galácz, Anna	2012	Beitrag in …		Relating online practices, negative experiences and coping strategies	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Bewältigung // coping; Internet; Kinder	1539
1	0	0	Sakellariou, Dikaios	2012	Zeitschriftenaufsatz	Sexuality and Disability	Sexuality and Disability	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.6 Behinderungen; 7 Sexualität; 7.2 Selbstbestimmung	Behinderung // disability; Sexualität // sexuality	1653
0	0	0	Sanjakdar, Fida	2012	Buch (Monographie)		Living west, facing east	1 Sozialer Kontext; 1.4 Identitäten; 1.4.4 Ethnizität; 1.4.5 Religion; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Islam; Jugendliche und junge Erwachsene; Religion; Sexualerziehung // sex ed; Sexualethik // sexual ethics; Sexualität // sexuality	1373
0	0	1	Schmidt, Sandra J.	2012	Beitrag in …		Let Me in!	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 8 Forschung; 8.1 Forschungsethik	Curriculum; Diskurs // discourse; Forschung; Forschungsethik // research ethics	1440
1	0	0	Schmidt, Sandra J.; Chang, Shih-pei; Carolan-Silva, Aliah; Lockhart, John; Anagnostopoulos, Dorothea	2012	Zeitschriftenaufsatz	Teaching and Teacher Education	Recognition, responsibility, and risk	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 3 Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Intern; 7 Sexualität	Ausbildung; Curriculum; Heteronormativität // heteronormativity; Lehrer*innen // Teachers; Professionalität // professionality; queer; Risikofaktoren // risk factors; Sexualität // sexuality; Sexuelle Bildung // sexuality education; soziale Ungleichheit und/oder Gerechtigkeit // social inequality and/or justice	856
0	0	0	Schmitt, irina	2012	Beitrag in …		Sexuality, Secularism, and the Nation - Reading Swedish School Policies	1 Sozialer Kontext; 1.1 Policies; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 7 Sexualität	Bildungspolititk // education policies; Religion; Schule // school; Sexualität // sexuality	1445
0	0	1	Serlin, David	2012	Beitrag in …		Touching Histories: Personality, Disability, and Sex in the 1930s	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 7 Sexualität	Behinderung // disability; sexuelle Erfahrung // sexual experience	1292
0	0	1	Shuttleworth, Russell	2012	Beitrag in …		Bridging Theory and Experience: A Critical-Interpretative Ethnography of Sexuality and Disability	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 7 Sexualität; 7.2 Selbstbestimmung; 8 Forschung; 8.3 Methodologie; 8.4 Ergebnisse	Behinderung // disability; Sexualität // sexuality; sexuelle Erfahrung // sexual experience	1287
0	0	1	Siebers, Tobin	2012	Beitrag in …		A Sexual Culture for Disabled People	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.6 Behinderungen; 7 Sexualität; 7.2 Selbstbestimmung	Behinderung // disability; Sexualkultur // sexuality culture	1286
0	0	1	Singh, Anneliese A.; Jackson, Ken	2012	Beitrag in …		Queer and Transgender Youth	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Schule; 5 Adressat_innen; 5.2 Jugendliche	Jugendliche und junge Erwachsene; queer; Schule // school; Schulklima // school climate; Sexuelle Bildung // sexuality education; trans*ident // trans*	1438
0	0	1	Smahel, David; Blinka, Lukás	2012	Beitrag in …		Expressive internet use among European children	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder	Internet; Kinder	1530
0	0	1	Sonck, Nathalie; Kuiper, Els; Haan, Jos de	2012	Beitrag in …		Digital skills in the context of media literacy	1 Sozialer Kontext; 1.3 Medien und Technologie	Medien // media; Medienkompetenz // media literacy	1522
0	0	1	Stald, Gitte; Ólafson, Kjartan	2012	Beitrag in …		Mobile access: different users, different risks, different consequences?	1 Sozialer Kontext; 1.3 Medien und Technologie	Medien // media; Risikofaktoren // risk factors	1537
1	0	0	Taylor Gomez, Miriam	2012	Zeitschriftenaufsatz	Sexuality and Disability	The S Words	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 7 Sexualität; 7.2 Selbstbestimmung	Behinderung // disability; Sexualität // sexuality; sexuelles Verhalten // sexual behaviour	1146
0	0	0	Vandoninck, Sofie; d´Haenens, Leen; Segers, Katia	2012	Beitrag in …		Coping and resilience: children´s response to online risks	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.4 Resilienz	Bewältigung // coping; Internet; Kinder; Resilienz // resilience; Risikofaktoren // risk factors	1531
1	0	0	Wells, Elizabeth A.; Asakura, Kenta; Hoppe, Marilyn J.; Balsam, Kimberly F.; Morrison, Diane M.; Beadnell, Blair	2012	Zeitschriftenaufsatz	Children and Youth Services Review	Social Services for Sexual Minority Youth: Preferences for What, Where, and How Services are Delivered	1 Sozialer Kontext; 1.1 Policies; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.6 Jugendamt; 5 Adressat_innen; 5.2 Jugendliche	Internet; Jugendliche und junge Erwachsene; queer; trans*ident // trans*	901
1	0	1	Albury, Kath	2013	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Young people, media and sexual learning	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.2 Extern; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen; 8 Forschung; 8.2 Theorie; 8.3 Methodologie	Jugendliche und junge Erwachsene; Medien // media; Sexualpädagog*innen // sex educators; Sexuelle Bildung // sexuality education	1034
0	0	0	Anderson, Eric	2013	Beitrag in …		Masculinity and homophobia in high school and college sports	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 2.2.3.1.1 Sportunterricht; 2.2.5 Universität; 4 Fachkräfte; 4.1 Intern; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Homofeindlichkeit // homophobia; Homosexualität; Männlichkeit // masculinity; Schule // school; Schulklima // school climate; schwul // gay; Sozialisation // socialization; Sport // sports; Sportunterricht // physical education; Stigmatisierung // stigma	1511
1	0	0	Baratvand, Mahmood; Soodani, Mansour; Zarei, Eghbal; Asadollahi, Abdolrahim	2013	Zeitschriftenaufsatz	Child Abuse Review	Sexual Abuse and Drug Abuse Among Homeless Children in Ahvaz, Iran	1 Sozialer Kontext; 1.4 Identitäten; 1.4.3 Schicht; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Kinder; obdachlos // homeless; Schutz // protection; Sexueller Missbrauch // sexual abuse; Sucht // addiction	872
